1200;1050;900;1200;1050;900;1200;1050;900
10;10;10;1;1;1;0.1;0.1;0.1
1.00E+04;1.00E+04;1.00E+04;1.00E+04;1.00E+04;1.00E+04;1.00E+04;1.00E+04;1.00E+04
3.44E+11;4.29E+11;5.63E+11;2.89E+11;3.60E+11;4.74E+11;2.42E+11;3.03E+11;3.61E+11
6.82E+11;8.54E+11;1.13E+12;5.71E+11;7.17E+11;9.46E+11;4.77E+11;6.01E+11;7.20E+11
1.02E+12;1.28E+12;1.69E+12;8.48E+11;1.07E+12;1.42E+12;7.05E+11;8.96E+11;1.08E+12
1.34E+12;1.70E+12;2.24E+12;1.12E+12;1.42E+12;1.89E+12;9.27E+11;1.19E+12;1.43E+12
1.67E+12;2.11E+12;2.80E+12;1.38E+12;1.77E+12;2.35E+12;1.14E+12;1.47E+12;1.78E+12
1.99E+12;2.53E+12;3.36E+12;1.64E+12;2.11E+12;2.82E+12;1.35E+12;1.76E+12;2.13E+12
2.30E+12;2.94E+12;3.91E+12;1.90E+12;2.45E+12;3.28E+12;1.56E+12;2.04E+12;2.47E+12
2.61E+12;3.35E+12;4.47E+12;2.15E+12;2.79E+12;3.74E+12;1.75E+12;2.31E+12;2.82E+12
2.91E+12;3.75E+12;5.02E+12;2.39E+12;3.12E+12;4.20E+12;1.95E+12;2.58E+12;3.16E+12
3.21E+12;4.15E+12;5.57E+12;2.63E+12;3.45E+12;4.66E+12;2.13E+12;2.85E+12;3.50E+12
3.51E+12;4.55E+12;6.12E+12;2.87E+12;3.78E+12;5.12E+12;2.32E+12;3.12E+12;3.83E+12
3.80E+12;4.95E+12;6.66E+12;3.09E+12;4.10E+12;5.57E+12;2.49E+12;3.38E+12;4.17E+12
4.09E+12;5.34E+12;7.21E+12;3.32E+12;4.42E+12;6.03E+12;2.66E+12;3.64E+12;4.50E+12
4.37E+12;5.73E+12;7.75E+12;3.54E+12;4.74E+12;6.48E+12;2.83E+12;3.89E+12;4.83E+12
4.65E+12;6.12E+12;8.29E+12;3.75E+12;5.05E+12;6.93E+12;2.99E+12;4.14E+12;5.15E+12
4.92E+12;6.51E+12;8.84E+12;3.97E+12;5.37E+12;7.38E+12;3.15E+12;4.39E+12;5.48E+12
5.19E+12;6.89E+12;9.38E+12;4.17E+12;5.67E+12;7.83E+12;3.30E+12;4.64E+12;5.80E+12
5.45E+12;7.27E+12;9.91E+12;4.37E+12;5.98E+12;8.27E+12;3.45E+12;4.88E+12;6.12E+12
5.72E+12;7.65E+12;1.05E+13;4.57E+12;6.28E+12;8.71E+12;3.59E+12;5.12E+12;6.44E+12
5.97E+12;8.02E+12;1.10E+13;4.77E+12;6.58E+12;9.16E+12;3.74E+12;5.35E+12;6.75E+12
6.23E+12;8.39E+12;1.15E+13;4.96E+12;6.88E+12;9.60E+12;3.87E+12;5.58E+12;7.07E+12
6.48E+12;8.76E+12;1.21E+13;5.14E+12;7.17E+12;1.00E+13;4.00E+12;5.81E+12;7.38E+12
6.72E+12;9.13E+12;1.26E+13;5.32E+12;7.46E+12;1.05E+13;4.13E+12;6.04E+12;7.69E+12
6.96E+12;9.50E+12;1.31E+13;5.50E+12;7.75E+12;1.09E+13;4.26E+12;6.26E+12;7.99E+12
7.20E+12;9.86E+12;1.36E+13;5.68E+12;8.04E+12;1.13E+13;4.38E+12;6.48E+12;8.30E+12
7.44E+12;1.02E+13;1.42E+13;5.85E+12;8.32E+12;1.18E+13;4.50E+12;6.70E+12;8.60E+12
7.67E+12;1.06E+13;1.47E+13;6.02E+12;8.60E+12;1.22E+13;4.61E+12;6.91E+12;8.90E+12
7.90E+12;1.09E+13;1.52E+13;6.18E+12;8.88E+12;1.26E+13;4.72E+12;7.13E+12;9.20E+12
8.12E+12;1.13E+13;1.57E+13;6.34E+12;9.15E+12;1.31E+13;4.83E+12;7.33E+12;9.49E+12
8.34E+12;1.16E+13;1.63E+13;6.50E+12;9.43E+12;1.35E+13;4.94E+12;7.54E+12;9.79E+12
8.56E+12;1.20E+13;1.68E+13;6.65E+12;9.70E+12;1.39E+13;5.04E+12;7.74E+12;1.01E+13
8.77E+12;1.23E+13;1.73E+13;6.80E+12;9.96E+12;1.43E+13;5.14E+12;7.94E+12;1.04E+13
8.99E+12;1.27E+13;1.78E+13;6.95E+12;1.02E+13;1.48E+13;5.24E+12;8.14E+12;1.07E+13
9.19E+12;1.30E+13;1.83E+13;7.10E+12;1.05E+13;1.52E+13;5.33E+12;8.34E+12;1.09E+13
9.40E+12;1.33E+13;1.89E+13;7.24E+12;1.07E+13;1.56E+13;5.42E+12;8.53E+12;1.12E+13
9.60E+12;1.37E+13;1.94E+13;7.38E+12;1.10E+13;1.60E+13;5.51E+12;8.72E+12;1.15E+13
9.80E+12;1.40E+13;1.99E+13;7.51E+12;1.13E+13;1.64E+13;5.59E+12;8.91E+12;1.18E+13
1.00E+13;1.43E+13;2.04E+13;7.65E+12;1.15E+13;1.68E+13;5.66E+12;9.09E+12;1.21E+13
1.02E+13;1.47E+13;2.09E+13;7.78E+12;1.18E+13;1.73E+13;5.73E+12;9.28E+12;1.23E+13
1.04E+13;1.50E+13;2.14E+13;7.90E+12;1.20E+13;1.77E+13;5.79E+12;9.46E+12;1.26E+13
1.06E+13;1.53E+13;2.19E+13;8.03E+12;1.23E+13;1.81E+13;5.85E+12;9.64E+12;1.29E+13
1.07E+13;1.56E+13;2.24E+13;8.15E+12;1.25E+13;1.85E+13;5.90E+12;9.81E+12;1.32E+13
1.09E+13;1.60E+13;2.29E+13;8.27E+12;1.27E+13;1.89E+13;5.94E+12;9.98E+12;1.34E+13
1.11E+13;1.63E+13;2.34E+13;8.39E+12;1.30E+13;1.93E+13;5.98E+12;1.02E+13;1.37E+13
1.13E+13;1.66E+13;2.39E+13;8.50E+12;1.32E+13;1.97E+13;6.02E+12;1.03E+13;1.39E+13
1.15E+13;1.69E+13;2.44E+13;8.62E+12;1.34E+13;2.01E+13;6.05E+12;1.05E+13;1.42E+13
1.16E+13;1.72E+13;2.49E+13;8.73E+12;1.37E+13;2.05E+13;6.08E+12;1.07E+13;1.45E+13
1.18E+13;1.75E+13;2.54E+13;8.84E+12;1.39E+13;2.09E+13;6.10E+12;1.08E+13;1.47E+13
1.20E+13;1.78E+13;2.59E+13;8.94E+12;1.41E+13;2.13E+13;6.12E+12;1.10E+13;1.50E+13
1.21E+13;1.81E+13;2.64E+13;9.05E+12;1.44E+13;2.17E+13;6.13E+12;1.11E+13;1.52E+13
1.23E+13;1.84E+13;2.69E+13;9.15E+12;1.46E+13;2.21E+13;6.15E+12;1.13E+13;1.55E+13
1.24E+13;1.87E+13;2.74E+13;9.25E+12;1.48E+13;2.25E+13;6.15E+12;1.14E+13;1.57E+13
1.26E+13;1.90E+13;2.79E+13;9.34E+12;1.50E+13;2.29E+13;6.16E+12;1.16E+13;1.60E+13
1.28E+13;1.93E+13;2.84E+13;9.44E+12;1.52E+13;2.33E+13;6.16E+12;1.17E+13;1.62E+13
1.29E+13;1.96E+13;2.89E+13;9.53E+12;1.54E+13;2.37E+13;6.16E+12;1.19E+13;1.65E+13
1.31E+13;1.99E+13;2.93E+13;9.62E+12;1.57E+13;2.40E+13;6.16E+12;1.20E+13;1.67E+13
1.32E+13;2.02E+13;2.98E+13;9.71E+12;1.59E+13;2.44E+13;6.15E+12;1.22E+13;1.70E+13
1.33E+13;2.05E+13;3.03E+13;9.80E+12;1.61E+13;2.48E+13;6.14E+12;1.23E+13;1.72E+13
1.35E+13;2.08E+13;3.08E+13;9.89E+12;1.63E+13;2.52E+13;6.13E+12;1.25E+13;1.75E+13
1.36E+13;2.10E+13;3.13E+13;9.97E+12;1.65E+13;2.56E+13;6.12E+12;1.26E+13;1.77E+13
1.38E+13;2.13E+13;3.18E+13;1.01E+13;1.67E+13;2.60E+13;6.11E+12;1.27E+13;1.79E+13
1.39E+13;2.16E+13;3.22E+13;1.01E+13;1.69E+13;2.63E+13;6.09E+12;1.29E+13;1.82E+13
1.40E+13;2.19E+13;3.27E+13;1.02E+13;1.71E+13;2.67E+13;6.08E+12;1.30E+13;1.84E+13
1.42E+13;2.22E+13;3.32E+13;1.03E+13;1.73E+13;2.71E+13;6.06E+12;1.31E+13;1.86E+13
1.43E+13;2.24E+13;3.37E+13;1.04E+13;1.75E+13;2.75E+13;6.04E+12;1.33E+13;1.88E+13
1.44E+13;2.27E+13;3.41E+13;1.04E+13;1.77E+13;2.78E+13;6.02E+12;1.34E+13;1.91E+13
1.45E+13;2.30E+13;3.46E+13;1.05E+13;1.79E+13;2.82E+13;5.99E+12;1.35E+13;1.93E+13
1.47E+13;2.32E+13;3.51E+13;1.06E+13;1.80E+13;2.86E+13;5.97E+12;1.36E+13;1.95E+13
1.48E+13;2.35E+13;3.56E+13;1.07E+13;1.82E+13;2.89E+13;5.95E+12;1.38E+13;1.97E+13
1.49E+13;2.38E+13;3.60E+13;1.07E+13;1.84E+13;2.93E+13;5.92E+12;1.39E+13;2.00E+13
1.50E+13;2.40E+13;3.65E+13;1.08E+13;1.86E+13;2.97E+13;5.90E+12;1.40E+13;2.02E+13
1.52E+13;2.43E+13;3.70E+13;1.09E+13;1.88E+13;3.00E+13;5.87E+12;1.41E+13;2.04E+13
1.53E+13;2.45E+13;3.74E+13;1.09E+13;1.90E+13;3.04E+13;5.84E+12;1.42E+13;2.06E+13
1.54E+13;2.48E+13;3.79E+13;1.10E+13;1.91E+13;3.08E+13;5.82E+12;1.44E+13;2.08E+13
1.55E+13;2.51E+13;3.83E+13;1.10E+13;1.93E+13;3.11E+13;5.79E+12;1.45E+13;2.10E+13
1.56E+13;2.53E+13;3.88E+13;1.11E+13;1.95E+13;3.15E+13;5.76E+12;1.46E+13;2.13E+13
1.57E+13;2.56E+13;3.93E+13;1.12E+13;1.97E+13;3.19E+13;5.73E+12;1.47E+13;2.15E+13
1.58E+13;2.58E+13;3.97E+13;1.12E+13;1.98E+13;3.22E+13;5.71E+12;1.48E+13;2.17E+13
1.59E+13;2.61E+13;4.02E+13;1.13E+13;2.00E+13;3.26E+13;5.68E+12;1.49E+13;2.19E+13
1.60E+13;2.63E+13;4.06E+13;1.13E+13;2.02E+13;3.29E+13;5.65E+12;1.50E+13;2.21E+13
1.61E+13;2.65E+13;4.11E+13;1.14E+13;2.03E+13;3.33E+13;5.63E+12;1.51E+13;2.23E+13
1.62E+13;2.68E+13;4.15E+13;1.14E+13;2.05E+13;3.36E+13;5.60E+12;1.52E+13;2.25E+13
1.63E+13;2.70E+13;4.20E+13;1.15E+13;2.07E+13;3.40E+13;5.57E+12;1.53E+13;2.27E+13
1.64E+13;2.73E+13;4.24E+13;1.15E+13;2.08E+13;3.43E+13;5.55E+12;1.54E+13;2.29E+13
1.65E+13;2.75E+13;4.29E+13;1.16E+13;2.10E+13;3.47E+13;5.53E+12;1.55E+13;2.31E+13
1.66E+13;2.77E+13;4.33E+13;1.16E+13;2.11E+13;3.50E+13;5.50E+12;1.56E+13;2.33E+13
1.67E+13;2.80E+13;4.38E+13;1.17E+13;2.13E+13;3.54E+13;5.48E+12;1.57E+13;2.35E+13
1.68E+13;2.82E+13;4.42E+13;1.17E+13;2.15E+13;3.57E+13;5.46E+12;1.58E+13;2.37E+13
1.69E+13;2.84E+13;4.47E+13;1.18E+13;2.16E+13;3.61E+13;5.43E+12;1.59E+13;2.39E+13
1.70E+13;2.87E+13;4.51E+13;1.18E+13;2.18E+13;3.64E+13;5.41E+12;1.60E+13;2.41E+13
1.71E+13;2.89E+13;4.56E+13;1.19E+13;2.19E+13;3.67E+13;5.39E+12;1.61E+13;2.43E+13
1.71E+13;2.91E+13;4.60E+13;1.19E+13;2.21E+13;3.71E+13;5.37E+12;1.62E+13;2.44E+13
1.72E+13;2.93E+13;4.65E+13;1.20E+13;2.22E+13;3.74E+13;5.36E+12;1.63E+13;2.46E+13
1.73E+13;2.96E+13;4.69E+13;1.20E+13;2.24E+13;3.78E+13;5.34E+12;1.64E+13;2.48E+13
1.74E+13;2.98E+13;4.73E+13;1.20E+13;2.25E+13;3.81E+13;5.32E+12;1.65E+13;2.50E+13
1.75E+13;3.00E+13;4.78E+13;1.21E+13;2.26E+13;3.84E+13;5.31E+12;1.65E+13;2.52E+13
1.76E+13;3.02E+13;4.82E+13;1.21E+13;2.28E+13;3.88E+13;5.29E+12;1.66E+13;2.54E+13
1.76E+13;3.04E+13;4.86E+13;1.22E+13;2.29E+13;3.91E+13;5.28E+12;1.67E+13;2.55E+13
1.77E+13;3.07E+13;4.91E+13;1.22E+13;2.31E+13;3.94E+13;5.26E+12;1.68E+13;2.57E+13
1.78E+13;3.09E+13;4.95E+13;1.22E+13;2.32E+13;3.98E+13;5.25E+12;1.69E+13;2.59E+13
1.79E+13;3.11E+13;4.99E+13;1.23E+13;2.33E+13;4.01E+13;5.24E+12;1.70E+13;2.61E+13
1.79E+13;3.13E+13;5.04E+13;1.23E+13;2.35E+13;4.04E+13;5.23E+12;1.70E+13;2.63E+13
1.80E+13;3.15E+13;5.08E+13;1.23E+13;2.36E+13;4.07E+13;5.22E+12;1.71E+13;2.64E+13
1.81E+13;3.17E+13;5.12E+13;1.24E+13;2.37E+13;4.11E+13;5.21E+12;1.72E+13;2.66E+13
1.82E+13;3.19E+13;5.17E+13;1.24E+13;2.39E+13;4.14E+13;5.20E+12;1.73E+13;2.68E+13
1.82E+13;3.21E+13;5.21E+13;1.24E+13;2.40E+13;4.17E+13;5.19E+12;1.73E+13;2.69E+13
1.83E+13;3.23E+13;5.25E+13;1.25E+13;2.41E+13;4.20E+13;5.19E+12;1.74E+13;2.71E+13
1.84E+13;3.25E+13;5.29E+13;1.25E+13;2.43E+13;4.23E+13;5.18E+12;1.75E+13;2.73E+13
1.84E+13;3.27E+13;5.34E+13;1.25E+13;2.44E+13;4.27E+13;5.17E+12;1.76E+13;2.75E+13
1.85E+13;3.29E+13;5.38E+13;1.26E+13;2.45E+13;4.30E+13;5.17E+12;1.76E+13;2.76E+13
1.86E+13;3.31E+13;5.42E+13;1.26E+13;2.46E+13;4.33E+13;5.17E+12;1.77E+13;2.78E+13
1.86E+13;3.33E+13;5.46E+13;1.26E+13;2.48E+13;4.36E+13;5.16E+12;1.78E+13;2.79E+13
1.87E+13;3.35E+13;5.50E+13;1.26E+13;2.49E+13;4.39E+13;5.16E+12;1.78E+13;2.81E+13
1.87E+13;3.37E+13;5.54E+13;1.27E+13;2.50E+13;4.42E+13;5.16E+12;1.79E+13;2.83E+13
1.88E+13;3.39E+13;5.59E+13;1.27E+13;2.51E+13;4.46E+13;5.15E+12;1.80E+13;2.84E+13
1.89E+13;3.41E+13;5.63E+13;1.27E+13;2.52E+13;4.49E+13;5.15E+12;1.80E+13;2.86E+13
1.89E+13;3.43E+13;5.67E+13;1.27E+13;2.54E+13;4.52E+13;5.15E+12;1.81E+13;2.87E+13
1.90E+13;3.45E+13;5.71E+13;1.28E+13;2.55E+13;4.55E+13;5.15E+12;1.81E+13;2.89E+13
1.90E+13;3.47E+13;5.75E+13;1.28E+13;2.56E+13;4.58E+13;5.15E+12;1.81E+13;2.91E+13
1.91E+13;3.48E+13;5.79E+13;1.28E+13;2.57E+13;4.61E+13;5.15E+12;1.82E+13;2.92E+13
1.91E+13;3.50E+13;5.83E+13;1.28E+13;2.58E+13;4.64E+13;5.15E+12;1.82E+13;2.94E+13
1.92E+13;3.52E+13;5.87E+13;1.29E+13;2.59E+13;4.67E+13;5.15E+12;1.83E+13;2.95E+13
1.93E+13;3.54E+13;5.91E+13;1.29E+13;2.60E+13;4.70E+13;5.16E+12;1.83E+13;2.97E+13
1.93E+13;3.56E+13;5.96E+13;1.29E+13;2.62E+13;4.73E+13;5.16E+12;1.83E+13;2.98E+13
1.94E+13;3.58E+13;6.00E+13;1.29E+13;2.63E+13;4.76E+13;5.16E+12;1.83E+13;3.00E+13
1.94E+13;3.59E+13;6.04E+13;1.30E+13;2.64E+13;4.79E+13;5.16E+12;1.84E+13;3.01E+13
1.95E+13;3.61E+13;6.08E+13;1.30E+13;2.65E+13;4.82E+13;5.17E+12;1.84E+13;3.03E+13
1.95E+13;3.63E+13;6.12E+13;1.30E+13;2.66E+13;4.85E+13;5.17E+12;1.84E+13;3.04E+13
1.96E+13;3.65E+13;6.16E+13;1.30E+13;2.67E+13;4.88E+13;5.17E+12;1.84E+13;3.06E+13
1.96E+13;3.66E+13;6.20E+13;1.30E+13;2.68E+13;4.91E+13;5.17E+12;1.84E+13;3.07E+13
1.97E+13;3.68E+13;6.24E+13;1.30E+13;2.69E+13;4.94E+13;5.18E+12;1.84E+13;3.08E+13
1.97E+13;3.70E+13;6.28E+13;1.31E+13;2.70E+13;4.97E+13;5.18E+12;1.84E+13;3.10E+13
1.97E+13;3.71E+13;6.32E+13;1.31E+13;2.71E+13;5.00E+13;5.19E+12;1.84E+13;3.11E+13
1.98E+13;3.73E+13;6.35E+13;1.31E+13;2.72E+13;5.03E+13;5.19E+12;1.84E+13;3.13E+13
1.98E+13;3.75E+13;6.39E+13;1.31E+13;2.73E+13;5.06E+13;5.19E+12;1.84E+13;3.14E+13
1.99E+13;3.76E+13;6.43E+13;1.31E+13;2.74E+13;5.09E+13;5.20E+12;1.84E+13;3.15E+13
1.99E+13;3.78E+13;6.47E+13;1.32E+13;2.75E+13;5.11E+13;5.20E+12;1.84E+13;3.17E+13
2.00E+13;3.80E+13;6.51E+13;1.32E+13;2.76E+13;5.14E+13;5.21E+12;1.84E+13;3.18E+13
2.00E+13;3.81E+13;6.55E+13;1.32E+13;2.77E+13;5.17E+13;5.21E+12;1.84E+13;3.20E+13
2.01E+13;3.83E+13;6.59E+13;1.32E+13;2.78E+13;5.20E+13;5.21E+12;1.84E+13;3.21E+13
2.01E+13;3.84E+13;6.63E+13;1.32E+13;2.79E+13;5.23E+13;5.22E+12;1.84E+13;3.22E+13
2.01E+13;3.86E+13;6.67E+13;1.32E+13;2.80E+13;5.26E+13;5.22E+12;1.84E+13;3.23E+13
2.02E+13;3.88E+13;6.71E+13;1.33E+13;2.81E+13;5.28E+13;5.23E+12;1.84E+13;3.25E+13
2.02E+13;3.89E+13;6.74E+13;1.33E+13;2.81E+13;5.31E+13;5.23E+12;1.83E+13;3.26E+13
2.03E+13;3.91E+13;6.78E+13;1.33E+13;2.82E+13;5.34E+13;5.23E+12;1.83E+13;3.27E+13
2.03E+13;3.92E+13;6.82E+13;1.33E+13;2.83E+13;5.37E+13;5.24E+12;1.83E+13;3.29E+13
2.03E+13;3.94E+13;6.86E+13;1.33E+13;2.84E+13;5.40E+13;5.24E+12;1.83E+13;3.30E+13
2.04E+13;3.95E+13;6.90E+13;1.33E+13;2.85E+13;5.42E+13;5.25E+12;1.82E+13;3.31E+13
2.04E+13;3.97E+13;6.93E+13;1.33E+13;2.86E+13;5.45E+13;5.25E+12;1.82E+13;3.32E+13
2.04E+13;3.98E+13;6.97E+13;1.33E+13;2.87E+13;5.48E+13;5.25E+12;1.82E+13;3.34E+13
2.05E+13;4.00E+13;7.01E+13;1.34E+13;2.88E+13;5.51E+13;5.26E+12;1.82E+13;3.35E+13
2.05E+13;4.01E+13;7.05E+13;1.34E+13;2.88E+13;5.53E+13;5.26E+12;1.81E+13;3.36E+13
2.05E+13;4.03E+13;7.09E+13;1.34E+13;2.89E+13;5.56E+13;5.26E+12;1.81E+13;3.37E+13
2.06E+13;4.04E+13;7.12E+13;1.34E+13;2.90E+13;5.59E+13;5.27E+12;1.81E+13;3.39E+13
2.06E+13;4.06E+13;7.16E+13;1.34E+13;2.91E+13;5.61E+13;5.27E+12;1.80E+13;3.40E+13
2.06E+13;4.07E+13;7.20E+13;1.34E+13;2.92E+13;5.64E+13;5.27E+12;1.80E+13;3.41E+13
2.07E+13;4.09E+13;7.23E+13;1.34E+13;2.92E+13;5.67E+13;5.28E+12;1.80E+13;3.42E+13
2.07E+13;4.10E+13;7.27E+13;1.34E+13;2.93E+13;5.69E+13;5.28E+12;1.79E+13;3.43E+13
2.07E+13;4.11E+13;7.31E+13;1.34E+13;2.94E+13;5.72E+13;5.28E+12;1.79E+13;3.45E+13
2.08E+13;4.13E+13;7.35E+13;1.35E+13;2.95E+13;5.75E+13;5.28E+12;1.78E+13;3.46E+13
2.08E+13;4.14E+13;7.38E+13;1.35E+13;2.96E+13;5.77E+13;5.29E+12;1.78E+13;3.47E+13
2.08E+13;4.16E+13;7.42E+13;1.35E+13;2.96E+13;5.80E+13;5.29E+12;1.78E+13;3.48E+13
2.09E+13;4.17E+13;7.46E+13;1.35E+13;2.97E+13;5.83E+13;5.29E+12;1.77E+13;3.49E+13
2.09E+13;4.18E+13;7.49E+13;1.35E+13;2.98E+13;5.85E+13;5.29E+12;1.77E+13;3.50E+13
2.09E+13;4.20E+13;7.53E+13;1.35E+13;2.99E+13;5.88E+13;5.29E+12;1.76E+13;3.51E+13
2.09E+13;4.21E+13;7.56E+13;1.35E+13;2.99E+13;5.90E+13;5.30E+12;1.76E+13;3.53E+13
2.10E+13;4.22E+13;7.60E+13;1.35E+13;3.00E+13;5.93E+13;5.30E+12;1.75E+13;3.54E+13
2.10E+13;4.24E+13;7.64E+13;1.35E+13;3.01E+13;5.96E+13;5.30E+12;1.75E+13;3.55E+13
2.10E+13;4.25E+13;7.67E+13;1.35E+13;3.01E+13;5.98E+13;5.30E+12;1.75E+13;3.56E+13
2.10E+13;4.26E+13;7.71E+13;1.36E+13;3.02E+13;6.01E+13;5.30E+12;1.74E+13;3.57E+13
2.11E+13;4.28E+13;7.74E+13;1.36E+13;3.03E+13;6.03E+13;5.30E+12;1.74E+13;3.58E+13
2.11E+13;4.29E+13;7.78E+13;1.36E+13;3.04E+13;6.06E+13;5.30E+12;1.73E+13;3.59E+13
2.11E+13;4.30E+13;7.82E+13;1.36E+13;3.04E+13;6.08E+13;5.30E+12;1.73E+13;3.60E+13
2.11E+13;4.31E+13;7.85E+13;1.36E+13;3.05E+13;6.11E+13;5.30E+12;1.72E+13;3.61E+13
2.12E+13;4.33E+13;7.89E+13;1.36E+13;3.06E+13;6.13E+13;5.31E+12;1.72E+13;3.62E+13
2.12E+13;4.34E+13;7.92E+13;1.36E+13;3.06E+13;6.16E+13;5.31E+12;1.71E+13;3.63E+13
2.12E+13;4.35E+13;7.96E+13;1.36E+13;3.07E+13;6.18E+13;5.31E+12;1.71E+13;3.64E+13
2.12E+13;4.36E+13;7.99E+13;1.36E+13;3.08E+13;6.21E+13;5.31E+12;1.70E+13;3.65E+13
2.13E+13;4.38E+13;8.03E+13;1.36E+13;3.08E+13;6.23E+13;5.31E+12;1.70E+13;3.66E+13
2.13E+13;4.39E+13;8.06E+13;1.36E+13;3.09E+13;6.26E+13;5.31E+12;1.69E+13;3.67E+13
2.13E+13;4.40E+13;8.10E+13;1.36E+13;3.09E+13;6.28E+13;5.31E+12;1.69E+13;3.68E+13
2.13E+13;4.41E+13;8.13E+13;1.36E+13;3.10E+13;6.31E+13;5.31E+12;1.68E+13;3.69E+13
2.13E+13;4.42E+13;8.17E+13;1.36E+13;3.11E+13;6.33E+13;5.31E+12;1.68E+13;3.70E+13
2.14E+13;4.44E+13;8.20E+13;1.37E+13;3.11E+13;6.35E+13;5.31E+12;1.67E+13;3.71E+13
2.14E+13;4.45E+13;8.24E+13;1.37E+13;3.12E+13;6.38E+13;5.31E+12;1.66E+13;3.72E+13
2.14E+13;4.46E+13;8.27E+13;1.37E+13;3.13E+13;6.40E+13;5.31E+12;1.66E+13;3.73E+13
2.14E+13;4.47E+13;8.30E+13;1.37E+13;3.13E+13;6.43E+13;5.31E+12;1.65E+13;3.74E+13
2.15E+13;4.48E+13;8.34E+13;1.37E+13;3.14E+13;6.45E+13;5.31E+12;1.65E+13;3.75E+13
2.15E+13;4.49E+13;8.37E+13;1.37E+13;3.14E+13;6.47E+13;5.31E+12;1.64E+13;3.76E+13
2.15E+13;4.51E+13;8.41E+13;1.37E+13;3.15E+13;6.50E+13;5.31E+12;1.64E+13;3.77E+13
2.15E+13;4.52E+13;8.44E+13;1.37E+13;3.15E+13;6.52E+13;5.31E+12;1.63E+13;3.78E+13
2.15E+13;4.53E+13;8.47E+13;1.37E+13;3.16E+13;6.55E+13;5.30E+12;1.63E+13;3.79E+13
2.15E+13;4.54E+13;8.51E+13;1.37E+13;3.17E+13;6.57E+13;5.30E+12;1.62E+13;3.80E+13
2.16E+13;4.55E+13;8.54E+13;1.37E+13;3.17E+13;6.59E+13;5.30E+12;1.62E+13;3.81E+13
2.16E+13;4.56E+13;8.58E+13;1.37E+13;3.18E+13;6.62E+13;5.30E+12;1.61E+13;3.82E+13
2.16E+13;4.57E+13;8.61E+13;1.37E+13;3.18E+13;6.64E+13;5.30E+12;1.61E+13;3.82E+13
2.16E+13;4.58E+13;8.64E+13;1.37E+13;3.19E+13;6.66E+13;5.30E+12;1.60E+13;3.83E+13
2.16E+13;4.59E+13;8.68E+13;1.37E+13;3.19E+13;6.68E+13;5.30E+12;1.60E+13;3.84E+13
